iter	Passed	Remaining
0	63	63167
1	65	32862
2	69	22993
3	71	17874
4	74	14916
5	77	12856
6	80	11413
7	83	10373
8	86	9573
9	89	8909
10	93	8377
11	96	7959
12	100	7609
13	102	7248
14	106	7022
15	110	6784
16	113	6537
17	115	6326
18	119	6188
19	122	6026
20	126	5880
21	128	5729
22	132	5608
23	134	5479
24	137	5356
25	140	5266
26	143	5183
27	146	5084
28	149	5009
29	153	4947
30	155	4875
31	158	4804
32	162	4772
33	165	4707
34	168	4658
35	172	4608
36	175	4562
37	178	4515
38	181	4463
39	183	4406
40	186	4366
41	189	4321
42	192	4278
43	195	4237
44	197	4196
45	200	4160
46	203	4128
47	206	4093
48	209	4057
49	211	4022
50	214	3997
51	218	3975
52	220	3944
53	223	3919
54	227	3909
55	231	3898
56	234	3876
57	237	3853
58	241	3848
59	244	3823
60	247	3814
61	250	3794
62	253	3771
63	256	3745
64	258	3722
65	261	3700
66	264	3680
67	267	3669
68	270	3653
69	273	3638
70	276	3620
71	279	3601
72	281	3580
73	285	3570
74	289	3565
75	292	3550
76	294	3533
77	297	3516
78	300	3499
79	302	3483
80	306	3472
81	308	3457
82	311	3444
83	314	3432
84	318	3424
85	320	3411
86	323	3395
87	327	3392
88	331	3390
89	333	3376
90	337	3366
91	339	3353
92	342	3341
93	345	3334
94	349	3327
95	352	3317
96	355	3311
97	358	3301
98	361	3287
99	363	3275
100	366	3264
101	369	3249
102	372	3242
103	375	3231
104	377	3221
105	380	3212
106	383	3201
107	388	3206
108	391	3202
109	394	3192
110	397	3185
111	400	3177
112	403	3168
113	406	3158
114	409	3149
115	412	3141
116	414	3131
117	418	3125
118	421	3123
119	424	3115
120	427	3108
121	430	3098
122	433	3088
123	435	3077
124	438	3070
125	441	3061
126	444	3052
127	446	3043
128	449	3035
129	452	3026
130	455	3018
131	457	3009
132	460	3003
133	464	2999
134	466	2991
135	470	2990
136	473	2980
137	476	2975
138	479	2967
139	481	2959
140	485	2954
141	487	2947
142	490	2940
143	493	2934
144	496	2929
145	499	2924
146	504	2925
147	506	2916
148	509	2911
149	512	2904
150	515	2898
151	518	2892
152	521	2884
153	524	2880
154	527	2877
155	530	2871
156	533	2864
157	536	2859
158	539	2854
159	542	2847
160	545	2840
161	547	2834
162	550	2828
163	553	2823
164	557	2819
165	560	2816
166	563	2809
167	565	2802
168	568	2796
169	571	2789
170	574	2783
171	577	2778
172	580	2773
173	582	2766
174	585	2760
175	588	2753
176	590	2747
177	594	2743
178	597	2739
179	600	2734
180	603	2730
181	606	2726
182	609	2722
183	612	2715
184	615	2711
185	618	2705
186	621	2701
187	624	2695
188	626	2689
189	629	2684
190	632	2680
191	635	2674
192	638	2668
193	641	2664
194	643	2658
195	646	2653
196	649	2649
197	653	2644
198	655	2639
199	658	2634
200	661	2630
201	664	2626
202	667	2621
203	670	2615
204	673	2610
205	676	2606
206	679	2601
207	682	2598
208	685	2594
209	688	2589
210	691	2584
211	693	2579
212	697	2575
213	699	2569
214	702	2566
215	706	2564
216	709	2558
217	711	2553
218	715	2550
219	719	2549
220	722	2546
221	725	2544
222	728	2539
223	732	2536
224	735	2532
225	738	2528
226	742	2526
227	745	2525
228	748	2521
229	751	2516
230	754	2511
231	758	2509
232	761	2505
233	764	2501
234	767	2499
235	771	2497
236	774	2492
237	778	2491
238	780	2486
239	783	2482
240	787	2479
241	790	2474
242	792	2469
243	795	2464
244	798	2461
245	802	2459
246	805	2455
247	808	2451
248	810	2445
249	813	2441
250	817	2439
251	820	2435
252	823	2431
253	826	2427
254	829	2422
255	833	2421
256	836	2417
257	838	2412
258	841	2407
259	844	2402
260	847	2400
261	850	2396
262	853	2392
263	856	2387
264	859	2382
265	861	2377
266	864	2373
267	867	2368
268	870	2366
269	873	2362
270	876	2358
271	879	2353
272	882	2351
273	885	2346
274	888	2343
275	892	2341
276	895	2337
277	898	2332
278	902	2331
279	904	2326
280	907	2322
281	910	2317
282	913	2313
283	916	2310
284	919	2306
285	923	2304
286	926	2301
287	929	2297
288	932	2294
289	935	2290
290	939	2287
291	941	2283
292	945	2280
293	948	2276
294	950	2271
295	953	2268
296	956	2265
297	960	2261
298	963	2257
299	965	2253
300	969	2251
301	973	2249
302	976	2245
303	979	2241
304	981	2237
305	984	2233
306	987	2229
307	990	2226
308	993	2221
309	996	2217
310	999	2213
311	1002	2209
312	1005	2206
313	1007	2201
314	1010	2197
315	1013	2193
316	1016	2190
317	1019	2187
318	1023	2185
319	1026	2181
320	1029	2177
321	1032	2173
322	1035	2171
323	1038	2167
324	1041	2162
325	1043	2158
326	1046	2154
327	1049	2150
328	1052	2146
329	1055	2142
330	1058	2139
331	1060	2134
332	1063	2130
333	1067	2128
334	1069	2123
335	1074	2122
336	1076	2118
337	1079	2113
338	1081	2109
339	1084	2104
340	1086	2100
341	1089	2096
342	1092	2093
343	1096	2090
344	1099	2088
345	1102	2083
346	1105	2080
347	1112	2083
348	1115	2081
349	1119	2078
350	1124	2078
351	1127	2076
352	1131	2073
353	1133	2069
354	1136	2065
355	1139	2061
356	1141	2056
357	1144	2052
358	1147	2049
359	1150	2044
360	1153	2041
361	1155	2036
362	1158	2033
363	1161	2029
364	1165	2027
365	1167	2023
366	1171	2019
367	1173	2015
368	1176	2011
369	1179	2007
370	1181	2003
371	1184	1999
372	1187	1995
373	1190	1991
374	1193	1988
375	1196	1985
376	1199	1981
377	1202	1978
378	1205	1974
379	1208	1971
380	1211	1968
381	1214	1964
382	1217	1960
383	1219	1956
384	1222	1952
385	1225	1949
386	1228	1945
387	1231	1941
388	1233	1938
389	1237	1934
390	1239	1931
391	1242	1927
392	1246	1924
393	1249	1921
394	1251	1916
395	1254	1912
396	1256	1908
397	1259	1905
398	1262	1901
399	1265	1898
400	1268	1894
401	1272	1892
402	1274	1888
403	1278	1885
404	1281	1882
405	1285	1880
406	1288	1876
407	1291	1873
408	1294	1870
409	1297	1866
410	1300	1864
411	1303	1860
412	1306	1856
413	1309	1853
414	1311	1848
415	1315	1846
416	1317	1842
417	1320	1838
418	1322	1834
419	1325	1831
420	1328	1827
421	1331	1823
422	1335	1821
423	1338	1817
424	1340	1814
425	1344	1810
426	1347	1808
427	1350	1805
428	1353	1801
429	1356	1797
430	1358	1793
431	1361	1790
432	1364	1786
433	1368	1784
434	1370	1780
435	1374	1777
436	1377	1774
437	1380	1771
438	1383	1767
439	1386	1764
440	1389	1760
441	1391	1757
442	1395	1754
443	1397	1750
444	1401	1747
445	1404	1744
446	1407	1740
447	1410	1738
448	1413	1734
449	1416	1731
450	1419	1727
451	1422	1725
452	1425	1721
453	1428	1718
454	1432	1715
455	1435	1712
456	1438	1708
457	1440	1704
458	1443	1701
459	1446	1698
460	1449	1695
461	1452	1691
462	1455	1688
463	1459	1685
464	1462	1682
465	1465	1679
466	1468	1675
467	1471	1672
468	1474	1669
469	1477	1666
470	1480	1662
471	1484	1660
472	1486	1656
473	1489	1652
474	1492	1649
475	1495	1646
476	1499	1643
477	1502	1640
478	1505	1637
479	1509	1634
480	1513	1632
481	1515	1629
482	1518	1625
483	1522	1623
484	1525	1619
485	1528	1616
486	1531	1612
487	1534	1609
488	1537	1606
489	1540	1603
490	1543	1599
491	1546	1596
492	1548	1592
493	1551	1589
494	1554	1585
495	1557	1582
496	1560	1579
497	1563	1575
498	1566	1572
499	1568	1568
500	1571	1564
501	1574	1561
502	1577	1558
503	1580	1555
504	1582	1551
505	1586	1549
506	1589	1545
507	1592	1542
508	1595	1539
509	1598	1536
510	1601	1532
511	1604	1529
512	1608	1526
513	1611	1523
514	1614	1520
515	1618	1517
516	1620	1514
517	1623	1510
518	1626	1507
519	1629	1504
520	1632	1501
521	1635	1497
522	1638	1493
523	1641	1491
524	1644	1488
525	1647	1484
526	1651	1482
527	1654	1479
528	1657	1475
529	1661	1473
530	1664	1470
531	1667	1466
532	1670	1463
533	1672	1459
534	1676	1457
535	1679	1454
536	1682	1450
537	1685	1447
538	1688	1444
539	1691	1441
540	1695	1438
541	1698	1435
542	1701	1432
543	1704	1428
544	1708	1425
545	1711	1422
546	1715	1420
547	1718	1417
548	1721	1414
549	1724	1410
550	1727	1407
551	1730	1404
552	1733	1401
553	1736	1397
554	1738	1394
555	1741	1391
556	1745	1388
557	1748	1385
558	1751	1381
559	1753	1378
560	1756	1374
561	1759	1371
562	1762	1368
563	1765	1364
564	1768	1361
565	1771	1358
566	1774	1355
567	1778	1352
568	1780	1348
569	1784	1345
570	1786	1342
571	1789	1339
572	1793	1336
573	1796	1333
574	1799	1330
575	1802	1326
576	1805	1323
577	1809	1320
578	1812	1317
579	1815	1314
580	1818	1311
581	1821	1308
582	1825	1305
583	1828	1302
584	1831	1299
585	1834	1296
586	1837	1292
587	1839	1289
588	1842	1285
589	1845	1282
590	1848	1278
591	1851	1275
592	1853	1272
593	1856	1269
594	1860	1266
595	1863	1263
596	1866	1260
597	1869	1256
598	1873	1254
599	1876	1251
600	1880	1248
601	1883	1245
602	1886	1242
603	1889	1238
604	1892	1235
605	1895	1232
606	1898	1229
607	1901	1225
608	1904	1222
609	1908	1220
610	1911	1216
611	1913	1213
612	1916	1210
613	1919	1206
614	1922	1203
615	1926	1200
616	1929	1197
617	1932	1194
618	1935	1191
619	1938	1188
620	1942	1185
621	1945	1182
622	1948	1178
623	1951	1175
624	1954	1172
625	1957	1169
626	1960	1166
627	1963	1163
628	1967	1160
629	1970	1157
630	1974	1154
631	1977	1151
632	1979	1147
633	1982	1144
634	1986	1141
635	1989	1138
636	1991	1135
637	1994	1131
638	1997	1128
639	2001	1125
640	2004	1122
641	2007	1119
642	2010	1116
643	2013	1113
644	2016	1109
645	2019	1106
646	2022	1103
647	2024	1099
648	2027	1096
649	2031	1093
650	2034	1090
651	2038	1088
652	2041	1085
653	2045	1082
654	2048	1079
655	2051	1075
656	2054	1072
657	2057	1069
658	2060	1066
659	2063	1062
660	2066	1059
661	2069	1056
662	2072	1053
663	2075	1050
664	2079	1047
665	2082	1044
666	2086	1041
667	2089	1038
668	2093	1035
669	2096	1032
670	2099	1029
671	2102	1026
672	2105	1022
673	2107	1019
674	2111	1016
675	2114	1013
676	2117	1010
677	2119	1006
678	2122	1003
679	2125	1000
680	2129	997
681	2132	994
682	2135	991
683	2138	988
684	2141	984
685	2143	981
686	2146	978
687	2149	974
688	2152	971
689	2155	968
690	2158	965
691	2161	962
692	2165	959
693	2168	956
694	2172	953
695	2174	949
696	2177	946
697	2180	943
698	2183	940
699	2186	936
700	2189	933
701	2192	930
702	2195	927
703	2198	924
704	2200	920
705	2203	917
706	2206	914
707	2208	910
708	2211	907
709	2214	904
710	2216	900
711	2219	897
712	2221	894
713	2224	891
714	2227	887
715	2230	884
716	2233	881
717	2236	878
718	2238	874
719	2241	871
720	2244	868
721	2246	865
722	2249	861
723	2252	858
724	2255	855
725	2258	852
726	2262	849
727	2265	846
728	2268	843
729	2271	840
730	2274	837
731	2277	833
732	2280	830
733	2282	827
734	2285	824
735	2288	820
736	2292	817
737	2295	814
738	2298	811
739	2301	808
740	2304	805
741	2307	802
742	2310	799
743	2313	796
744	2316	792
745	2319	789
746	2322	786
747	2326	783
748	2328	780
749	2331	777
750	2334	773
751	2336	770
752	2339	767
753	2342	764
754	2345	761
